Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT
Date,,,,,,,,,,,,,,,
2025-03-07,238.4862518310547,173.45001220703125,392.5892639160156,240.78062356819368,174.55739526661597,394.07652376953155,234.1867631010968,169.86848162814977,384.83351327034705,234.53591456798168,170.85613731453174,391.601087821307,46273600,27385800,22034100
2025-03-10,226.92454528808594,165.66943359375,379.46337890625,235.583358769024,168.25631348073628,385.69193466137494,223.6725108894593,163.49207685373173,376.5287638766263,234.96486230654432,168.05654311824674,385.1329632711281,72071200,43604000,32840100
2025-03-11,220.30075073242188,163.84164428710938,379.7528381347656,225.28854176632854,166.5483741956788,385.29265558349334,216.91902902029437,161.17487454711969,376.2193166501511,223.26349982428485,164.71060268982163,378.30548307291184,76137400,39587400,30380200
2025-03-12,216.45018005371094,166.90794372558594,382.5676574707031,221.20853706339403,167.43730167009207,384.5140963348653,214.38524243690583,163.33227056435828,378.2555969008229,219.60246770742089,166.37858578107983,382.2482670126177,62547500,28372400,24253600
2025-03-13,209.16799926757812,162.56320190429688,378.0758972167969,216.31051974194543,165.92913761122173,384.6139126915579,207.9110813961123,161.91399391340872,376.75833925298997,215.42269353923288,165.8392348472833,382.4578672121625,61368300,31756200,20473000
2025-03-14,212.9687042236328,165.28990173339844,387.84796142578125,213.4275724686152,166.28869257421587,389.51491455417886,209.06824803363213,162.25356904272374,378.81455773398244,210.73416839029963,163.07258484755664,379.0840519928303,60107600,31995900,19952800
2025-03-17,213.4774627685547,164.09133911132812,387.98773193359375,214.69448503570536,166.0989184378049,391.99036302361236,209.4573042902151,163.47209367229158,384.8634626840814,212.78914514941675,164.83044981365524,385.9913968692823,48073400,31184300,22474300
2025-03-18,212.17066955566406,160.47572326660156,382.81719970703125,214.624654360469,164.05139632119491,386.6601507855219,210.97360268345204,156.5305024761992,380.4016513456866,213.6370814211214,163.48207822407835,386.36071271152235,42432400,42074800,19486900
2025-03-19,214.7144317626953,163.69183349609375,387.1093444824219,218.22582565599035,165.6694351323274,388.9659214939022,213.22806456968678,160.8053285192439,383.29633715100766,213.6969181399133,161.56440408660148,384.8235322758774,54385400,34275600,19185500
2025-03-20,213.5772247314453,162.6031494140625,386.131103515625,216.9589465476154,164.6906185813501,391.07204471614995,211.70181037410745,160.76537795311089,382.5776297310475,213.46749271646212,161.37464096618422,385.0331131975468,48862900,28138500,18470500
